Assembly	assembly.polished
# contigs (>= 0 bp)	10
# contigs (>= 1000 bp)	10
# contigs (>= 5000 bp)	10
# contigs (>= 10000 bp)	9
# contigs (>= 25000 bp)	4
# contigs (>= 50000 bp)	2
Total length (>= 0 bp)	3155926
Total length (>= 1000 bp)	3155926
Total length (>= 5000 bp)	3155926
Total length (>= 10000 bp)	3148884
Total length (>= 25000 bp)	3062692
Total length (>= 50000 bp)	2993793
# contigs	10
Largest contig	2775216
Total length	3155926
GC (%)	37.79
N50	2775216
N90	218577
auN	2456852.3
L50	1
L90	2
# N's per 100 kbp	6.02
