baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EFA_00001	0	NA	NA	NA	NA	NA
EFA_00002	0	NA	NA	NA	NA	NA
EFA_00003	0	NA	NA	NA	NA	NA
EFA_00004	0	NA	NA	NA	NA	NA
EFA_00005	0	NA	NA	NA	NA	NA
EFA_00006	0	NA	NA	NA	NA	NA
EFA_00023	138.713579586547	0.326828587070593	0.198553650521043	1.64604672950073	0.099754138595293	0.177005025900548
EFA_00024	37.0220488924553	-0.161634543887924	0.303639552935972	-0.532323744798846	0.594501789326859	0.71534561490252
EFA_00025	264.350393324692	-0.541284958595435	0.15188238883896	-3.56384280450945	0.000365464868594752	0.00121581649795543
EFA_00026	42.1406484074616	-0.754651632778393	0.3045359237033	-2.4780381361958	0.0132107024186764	0.0306860247928964
EFA_00027	153.435578108931	-1.23489362136636	0.191248676520258	-6.45700479519683	1.06795515072678e-10	7.70376692898637e-10
EFA_00028	50.1508892404725	-1.20889761950168	0.290979912695139	-4.1545741364224	3.25893942631321e-05	0.000127994734513615
EFA_00029	425.830860336171	-1.2705804826859	0.171509386221096	-7.40822709870801	1.2799898186179e-13	1.17783678501667e-12
EFA_00030	357.085528442216	-1.19903168477683	0.147685741478108	-8.1188046508509	4.70797611774853e-16	5.19869209002155e-15
EFA_00031	143.596287895203	0.609124615337813	0.190369979989662	3.19968839294352	0.00137576241424354	0.00400693081838327
EFA_00032	653.699694135028	2.34956884702546	0.325915651774807	7.20913167020562	5.63097929225964e-13	4.943896497883e-12
EFA_00033	261.179187314481	0.552860413144664	0.168874584836625	3.27379287818542	0.00106114360414006	0.00320351554940707
EFA_00034	0	NA	NA	NA	NA	NA
EFA_00035	410.867487208376	-0.337878039605866	0.158470802395553	-2.13211540863219	0.0329973602188332	0.0680570554513434
EFA_00036	97.7665532396606	0.170795238670208	0.238835109437551	0.715117802706754	0.47453625424807	0.617087398375167
EFA_00037	0.652674603412851	-2.50377986561075	2.20732321896305	-1.13430595216	0.25666623329845	0.386007729596568
EFA_00038	236.285592210543	0.384479715668352	0.162204474771549	2.37033975918272	0.0177717456359729	0.0397372910598741
EFA_00039	16.3512461694464	0.722475767997562	0.43105458559358	1.67606561243905	0.0937253414910613	0.168494336518996
EFA_00040	281.242733100872	-1.94689435073594	0.159384407214511	-12.2150866873424	2.58226088751883e-34	6.44667044179702e-33
EFA_00041	14.1636776537936	1.38450091214483	0.480792424805584	2.87962297389497	0.00398150989348745	0.0103917408220022
EFA_00042	17.6252976244802	-0.953894748203504	0.45233238102135	-2.10883586545284	0.034958751642478	0.0714861652176314
EFA_00043	267.796080400262	0.338755848654934	0.163280041348915	2.07469232526125	0.0380150591338735	0.0770235340119434
EFA_00044	31.4519998333502	-0.517061650986015	0.323638333950521	-1.5976526781437	0.110120295807896	0.191841850281839
EFA_00045	0.499085531511632	1.4705657300309	2.3817210231793	0.617438279176742	0.536945679964067	0.670985662699546
EFA_00046	85.7357600972248	-1.2926740291048	0.238341915519291	-5.42361181535513	5.84066504199036e-08	3.26872306735952e-07
EFA_00047	204.616800273157	-2.77294418505367	0.200634379790119	-13.8208824826254	1.90717357747226e-43	7.11103291028941e-42
EFA_00048	54.4439668623366	-1.65395549523163	0.277777851601977	-5.95423820039314	2.61286016912352e-09	1.66700478790081e-08
EFA_00049	109.366564586438	-2.10848002397565	0.224824479455318	-9.3783382889793	6.70206160377323e-21	9.47862998247928e-20
EFA_00050	169.550124579475	-2.28527880017464	0.22309810125807	-10.2433807696603	1.26729027964463e-24	2.11534325166264e-23
EFA_00051	130.836078769663	-2.63602839270613	0.237130030703223	-11.1163836351256	1.04419252026058e-28	2.15674584580441e-27
EFA_00052	29.3169460942186	-3.07414226977814	0.464741364913713	-6.61473779152175	3.72210897426540e-11	2.79742797516125e-10
EFA_00053	209.3550774102	-2.862269686473	0.204083362512994	-14.0250025833965	1.09608150901157e-44	4.25250001671919e-43
EFA_00054	55.1356817295479	-3.27421206897398	0.362949514820833	-9.02112259494345	1.86171605578698e-19	2.49765738138524e-18
EFA_00055	441.707333190733	-5.02643420457078	0.22138768016762	-22.704218232763	4.07009003799783e-114	8.34659178506556e-112
EFA_00056	158.693533957741	-4.16010627822441	0.278274413005229	-14.9496543117179	1.56559767363018e-50	7.49138486832042e-49
EFA_00057	486.692875008185	-4.77977947737866	0.206673111181446	-23.127244033126	2.4637117708372e-118	5.44101268774893e-116
EFA_00058	42.1803510053528	-5.31959467404411	0.687004257170244	-7.74317570600713	9.69638962510334e-15	9.73368343135373e-14
EFA_00059	78.42563856538	-4.83567627621265	0.445289714504895	-10.8596181737306	1.79498149084693e-27	3.55406335187691e-26
EFA_00060	258.264257242665	-5.30959547740481	0.300937043988694	-17.643542340385	1.14080034122449e-69	9.0978827212653e-68
