#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:2548340-2550169|- -            610 143460at2            -            439  3.5e-162  537.5   6.7   1   1  3.7e-160  1.7e-157  522.1   6.7     1   439     7   594     7   594 0.85 tig00000001_2448 # 2548340 # 2550169 # -1 # ID=1_2448;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000001:706490-708577|+   -            696 143460at2            -            439   8.7e-38  127.6   2.2   1   3   4.7e-31   2.1e-28   96.7   0.0     2   124    11   151    10   162 0.87 tig00000001_641 # 706490 # 708577 # 1 # ID=1_641;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.420
tig00000001:706490-708577|+   -            696 143460at2            -            439   8.7e-38  127.6   2.2   2   3   2.9e-08   1.3e-05   21.6   0.0   175   293   352   479   264   486 0.75 tig00000001_641 # 706490 # 708577 # 1 # ID=1_641;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.420
tig00000001:706490-708577|+   -            696 143460at2            -            439   8.7e-38  127.6   2.2   3   3     0.017       7.4    2.6   0.1   294   347   605   668   598   672 0.70 tig00000001_641 # 706490 # 708577 # 1 # ID=1_641;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.420
tig00000001:2250521-2252356|+ -            612 143460at2            -            439     3e-37  125.8   2.9   1   3   2.7e-38   1.2e-35  120.6   2.8     1   221    13   265    13   284 0.81 tig00000001_2154 # 2250521 # 2252356 # 1 # ID=1_2154;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.423
tig00000001:2250521-2252356|+ -            612 143460at2            -            439     3e-37  125.8   2.9   2   3     0.022       9.8    2.2   0.0   268   307   353   393   331   398 0.85 tig00000001_2154 # 2250521 # 2252356 # 1 # ID=1_2154;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.423
tig00000001:2250521-2252356|+ -            612 143460at2            -            439     3e-37  125.8   2.9   3   3      0.42   1.8e+02   -2.0   0.0   288   318   408   439   401   478 0.64 tig00000001_2154 # 2250521 # 2252356 # 1 # ID=1_2154;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.423
tig00000001:708749-709936|+   -            396 143460at2            -            439   6.2e-23   78.7   0.9   1   1     5e-25   2.2e-22   76.8   0.9     3   205    14   260    12   263 0.71 tig00000001_642 # 708749 # 709936 # 1 # ID=1_642;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.434
tig00000001:2702689-2703876|- -            396 143460at2            -            439   5.9e-21   72.1   0.3   1   1   8.8e-23   3.9e-20   69.4   0.3     3   205    14   260    12   267 0.69 tig00000001_2594 # 2702689 # 2703876 # -1 # ID=1_2594;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.433
tig00000001:72417-73997|-     -            527 143460at2            -            439   2.5e-19   66.8   0.0   1   2   1.8e-21     8e-19   65.1   0.0     2   121    14   155    13   192 0.78 tig00000001_61 # 72417 # 73997 # -1 # ID=1_61;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.384
tig00000001:72417-73997|-     -            527 143460at2            -            439   2.5e-19   66.8   0.0   2   2       0.5   2.2e+02   -2.2   0.0   170   208   314   352   302   362 0.77 tig00000001_61 # 72417 # 73997 # -1 # ID=1_61;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.384
tig00000001:2113684-2115990|+ -            769 143460at2            -            439   6.4e-18   62.1   0.5   1   2   1.5e-20   6.4e-18   62.1   0.5     4   147   274   428   272   486 0.64 tig00000001_2031 # 2113684 # 2115990 # 1 # ID=1_2031;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.417
tig00000001:2113684-2115990|+ -            769 143460at2            -            439   6.4e-18   62.1   0.5   2   2      0.21        94   -1.0   0.6    79   191   598   711   567   731 0.66 tig00000001_2031 # 2113684 # 2115990 # 1 # ID=1_2031;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.417
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/bacteria_odb10/hmms/143460at2.hmm
# Target file:     /gorilla/home/asma7174/GA_project/code/busco_polished/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /gorilla/home/asma7174/GA_project/code/busco_polished/run_bacteria_odb10/hmmer_output/143460at2.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/bacteria_odb10/hmms/143460at2.hmm /gorilla/home/asma7174/GA_project/code/busco_polished/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/asma7174/GA_project/code
# Date:            Mon Apr 20 22:41:59 2026
# [ok]
